passer_id,passer,posteam
00-0022912,J.Losman,"BUF, LV, MIA"
00-0036264,J.Love,GB
00-0036312,J.Luton,JAX
00-0026995,J.Maclin,KC
00-0031409,J.Manziel,CLE
00-0010455,J.Martin,"JAX, LA, NO"
00-0021206,J.McCown,"ARI, CAR, CHI, CLE, LV, NYJ, PHI, TB"
00-0031376,J.McKinnon,MIN
00-0034960,J.Meyers,NE
00-0011276,J.Miller,CHI
00-0011279,J.Miller,PIT
00-0033897,J.Mixon,CIN
00-0026314,J.Morgan,WAS
00-0022827,J.Navarre,ARI
00-0024294,J.Norwood,"ATL, LA"
00-0021940,Josh.Brown,LA
00-0021296,J.O'Sullivan,"CIN, DET, SF"
00-0020483,J.Palmer,NYG
00-0025592,J.Palmer,"CIN, TEN"
00-0013042,J.Plummer,"ARI, DEN"
00-0013338,J.Quinn,"CHI, JAX"
00-0013639,J.Rice,"LV, SF"
00-0013728,J.Riemersma,BUF
00-0035831,J.Robinson,JAX
00-0034343,J.Rosen,"ARI, ATL, MIA"
00-0032431,J.Rudock,DET
00-0025388,J.Russell,LV
00-0023742,J.Ryan,"GB, SEA"
00-0034331,J.Samuels,PIT
00-0034162,J.Scott,GB
00-0027754,J.Skelton,ARI
00-0035510,J.Smith,NYJ
00-0022744,J.Sorgi,IND
00-0015420,J.Sowell,NYJ
00-0015698,J.Stewart,DET
00-0035264,J.Stidham,NE
00-0029597,J.Tucker,BAL
00-0030024,J.Tuel,BUF
00-0021647,J.Urban,ARI
00-0027796,J.Webb,"BUF, MIN"
00-0031062,J.White,NE
00-0017693,J.Wilkins,LA
00-0031503,J.Winston,"NO, TB"
00-0022127,J.Witten,DAL
00-0034899,J.Wolford,LA
00-0030279,K.Allen,LAC
00-0034577,K.Allen,"CAR, WAS"
00-0030465,K.Barner,ATL
00-0022164,K.Boller,"BAL, LA, LV"
00-0033307,K.Bourne,NE
00-0033132,K.Byard,TEN
00-0024264,K.Clemens,"LA, LAC, NYJ"
00-0033681,K.Cole,NYJ
00-0003292,K.Collins,"IND, LV, NYG, TEN"
00-0029604,K.Cousins,"MIN, WAS"
00-0004229,K.Detmer,PHI
00-0004294,K.Dilger,IND
00-0022039,K.Dorsey,"CLE, SF"
00-0005091,K.Faulk,NE
00-0006212,K.Graham,"NYG, PIT, WAS"
00-0035297,K.Harmon,WAS
00-0035864,K.Hinton,DEN
00-0032784,K.Hogan,CLE
00-0007576,K.Holcomb,"BUF, CLE, MIN"
00-0027103,K.Huber,CIN
00-0033923,K.Hunt,CLE
00-0028053,K.Hunter,SF
00-0008560,K.Johnson,CLE
00-0008561,K.Johnson,"CAR, DAL, NYJ"
00-0022027,K.Kingsbury,NYJ
00-0021271,K.Kittner,ATL
00-0025423,K.Kolb,"ARI, PHI"
00-0034369,K.Lauletta,NYG
00-0010007,K.Lockett,WAS
00-0010174,K.Lyle,LA
00-0010668,K.McCardell,LAC
00-0036946,K.Mond,MIN
00-0029234,K.Moore,DAL
00-0035228,K.Murray,ARI
00-0027131,K.Null,LA
00-0026234,K.O'Connell,NE
