receiver_id,receiver,posteam
00-0028170,B.Batch,PIT
00-0000969,B.Bech,NO
00-0032062,B.Bell,"DAL, JAX, KC, MIN, SF"
00-0001098,B.Bennett,CIN
00-0022807,B.Berrian,"CHI, MIN"
00-0034419,B.Berrios,NYJ
00-0029394,B.Bersin,CAR
00-0029239,B.Bolden,"MIA, NE"
00-0026607,B.Bolen,JAX
00-0031407,B.Bortles,JAX
00-0029601,B.Bostick,"GB, NYJ"
00-0032515,B.Bowman,NYJ
00-0032661,B.Braunecker,CHI
00-0019027,B.Brown,CLE
00-0029429,B.Brown,"BUF, PHI, SEA"
00-0030516,B.Butler,"DAL, LV, MIA"
00-0024289,B.Calhoun,DET
00-0025549,B.Celek,PHI
00-0002861,B.Chamberlain,"DEN, MIN, WAS"
00-0023701,B.Childress,NE
00-0002970,B.Christian,ATL
00-0023258,B.Cieslak,BUF
00-0023790,B.Clark,"DEN, DET, TB"
00-0003142,B.Coates,"BAL, NE"
00-0030801,B.Coleman,NO
00-0003266,B.Collins,"BUF, GB"
00-0031236,B.Cooks,"HOU, LA, NE, NO"
00-0003512,B.Costello,CIN
00-0026216,B.Cottam,KC
00-0003572,B.Cox,NE
00-0029795,B.Cunningham,"CHI, LA"
00-0030120,B.Daniels,SEA
00-0003944,B.Davis,BAL
00-0004073,B.Dawkins,PHI
00-0035102,B.Dillon,MIN
00-0024553,B.Ealy,TEN
00-0023438,B.Edwards,"CLE, NYJ, SEA, SF"
00-0032001,B.Edwards,NYG
00-0036365,B.Edwards,LV
00-0021993,"Be.Johnson, B.Johnson","MIN, NE"
00-0027761,B.Eldridge,IND
00-0035823,B.Ellefson,"JAX, MIN"
00-0031326,B.Ellington,"DET, HOU, SF"
00-0004888,B.Emanuel,"DET, MIA, NE, TB"
00-0004915,B.Engram,"CHI, KC, SEA"
00-0029420,B.Ewing,ATL
00-0005106,B.Favre,MIN
00-0005231,B.Finneran,"ATL, PHI"
00-0021317,B.Fletcher,IND
00-0021938,B.Forsey,CHI
00-0030670,B.Fowler,"DEN, NO, NYG"
00-0019644,B.Franks,"GB, NYJ"
00-0027948,B.Gabbert,SF
00-0020417,B.Gay,CLE
00-0026937,B.Gibson,"LA, MIA"
00-0019302,B.Gilmore,"ARI, MIA, SF"
00-0029336,B.Golden,ARI
00-0025860,B.Green-Ellis,"CIN, NE"
00-0006423,B.Griese,"DEN, TB"
00-0023572,B.Grigsby,KC
00-0006577,B.Habib,SEA
00-0006803,B.Hanspard,ATL
00-0028862,B.Harris,NO
00-0027077,B.Hartline,"CLE, MIA"
00-0022847,B.Hartsock,"ATL, CAR, IND, NYJ, TEN"
00-0032298,B.Hill,JAX
00-0033567,B.Hill,"ATL, CIN"
00-0019100,B.Hoover,CAR
00-0036424,B.Hopkins,LA
00-0034449,B.Howell,HOU
00-0026625,B.Hoyer,CLE
00-0031589,B.Hundley,GB
00-0025450,B.Jackson,"CLE, GB"
00-0023545,B.Jacobs,NYG
00-0027470,B.James,IND
00-0033658,B.Jarwin,DAL
00-0019548,B.Jennings,SF
00-0019172,B.Johnson,"CHI, WAS"
