id,name,posteam
00-0020446,C.Chambers,"LAC, MIA"
00-0002876,C.Chandler,"ATL, CHI, LA"
00-0028112,C.Clay,MIA
00-0036326,C.Claypool,PIT
00-0003103,C.Cleeland,LA
00-0033725,C.Clement,"DAL, PHI"
00-0027115,C.Clemons,MIA
00-0022872,C.Cobbs,"DEN, NE"
00-0019661,C.Cole,DEN
00-0032966,C.Coleman,"CLE, NYG"
00-0003271,C.Collins,MIA
00-0032128,C.Conley,HOU
00-0003396,C.Conway,"CHI, LAC"
00-0032893,C.Cook,LV
00-0022738,C.Cooley,WAS
00-0022167,C.Crocker,CIN
00-0021918,C.Dach,NYG
00-0024796,C.Dahl,SF
00-0026544,C.Daniel,"CHI, DET, KC, LAC, NO, PHI"
00-0022434,C.Davis,PIT
00-0025417,C.Davis,LAC
00-0025794,C.Davis,NYJ
00-0033871,C.Davis,TEN
00-0024698,C.Dawson,IND
00-0004304,C.Dillon,"CIN, NE"
00-0004386,C.Doering,WAS
00-0004595,C.Dukes,JAX
00-0034681,C.Edmonds,ARI
00-0036360,C.Edwards-Helaire,KC
00-0004916,C.Enis,CHI
00-0032145,C.Erving,CLE
00-0004972,C.Evans,BAL
00-0036857,C.Evans,CIN
00-0023547,C.Fason,MIN
00-0032807,C.Fejedelem,"CIN, MIA"
00-0029697,C.Fleener,NO
00-0005348,C.Floyd,NE
00-0023502,C.Frye,"CLE, LV, SEA"
00-0005620,C.Fuamatu-Ma'afala,"JAX, PIT"
00-0005771,C.Gardocki,PIT
00-0005779,C.Garner,"LV, SF, TB"
00-0029614,C.Givens,"BAL, LA"
00-0033921,C.Godwin,TB
00-0031731,C.Grant,JAX
00-0029298,C.Gray,KC
00-0033215,C.Grayson,TB
00-0006410,C.Greisen,ARI
00-0027555,C.Gresham,SEA
00-0006482,C.Groce,CIN
00-0027419,C.Gronkowski,DAL
00-0027188,C.Hall,PHI
00-0032918,C.Ham,MIN
00-0025970,C.Hanie,CHI
00-0006799,C.Hanson,JAX
00-0025515,Ch.Davis,TEN
00-0026197,C.Henne,"JAX, KC, MIA"
00-0025437,C.Henry,TEN
00-0028427,C.Henry,PHI
00-0007308,C.Hentrich,TEN
00-0007357,C.Hetherington,"CAR, LA, LV, SF"
00-0030113,Ch.Johnson,MIN
00-0028237,C.Hogan,"BUF, NE"
00-0023222,C.Holiday,GB
00-0021424,C.Horn,KC
00-0023615,C.Houston,NYJ
00-0007795,C.Howard,JAX
